YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER,
109,3,32,27,21,3032027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,28,9,3032028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,28,10,3032028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,28,11,3032028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,28,12,3032028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,28,13,3032028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,28,17,3032028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,28,18,3032028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,28,19,3032028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,28,20,3032028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,28,21,3032028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,29,9,3032029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,29,10,3032029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,29,11,3032029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,29,12,3032029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,29,13,3032029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,29,17,3032029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,29,18,3032029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,29,19,3032029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,29,20,3032029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,29,21,3032029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
